ID	hg19_coordinates	hg19_bracketing_genes	hg38_coordinates	mm9_coordinates	mm9_bracketing_genes	mm10_coordinates
hs1538	chr14:36911162-36914360	MBIP-SFTA3	chr14:36441957-36445155	chr12:57559065-57561475	Mbip-E030019B13Rik	chr12:56458078-56460488
hs704	chr14:36933150-36934532	MBIP-SFTA3	chr14:36463945-36465327	chr12:57582954-57584331	Mbip-E030019B13Rik	chr12:56481967-56483344
hs1166	chr14:36973775-36974585	SFTA3(intragenic)	chr14:36504570-36505380	chr12:57621170-57622016	E030019B13Rik(intragenic)	chr12:56520183-56521029
hs593	chr14:37726340-37727348	MIPOL1(intragenic)	chr14:37257135-37258143	chr12:58392364-58393371	Mipol1(intragenic)	chr12:57291377-57292384
hs2605	chr14:41753911-41755422	LOC644919-LRFN5	chr14:41284708-41286219	chr12:62275892-62277195	Fbxo33-Gm20063	chr12:61174905-61176208
mm1861	chr14:44666804-44668222	LRFN5-FSCB	chr14:44197601-44199019	chr12:65247302-65258785	Lrfn5-Fscb	chr12:64146315-64157798
mm122	chr14:50809040-50810702	CDKL1(intragenic)	chr14:50342322-50343984	chr12:70858396-70860249	Cdkl1(intragenic)	chr12:69757409-69759262
mm1498	chr14:52312838-52316433	FRMD6-GNG2	chr14:51846120-51849715	chr14:20803684-20807287	Gng2-1810063B07Rik	chr14:19984462-19988065
hs1151	chr14:53833457-53836210	LOC101927620-MIR5580	chr14:53366739-53369492	chr14:46444825-46447622	Mir5131-Gm1821	chr14:45825150-45827947
mm384	chr14:53959733-53961065	LOC101927620-MIR5580	chr14:53493015-53494347	chr14:46563515-46564802	Mir5131-Gm1821	chr14:45943840-45945127
hs1629	chr14:54035953-54040896	LOC101927620-MIR5580	chr14:53569235-53574178	chr14:46636715-46640485	Mir5131-Gm1821	chr14:46017040-46020810
hs1823	chr14:54085571-54088690	LOC101927620-MIR5580	chr14:53618853-53621972	chr14:46685716-46688931	Mir5131-Gm1821	chr14:46066041-46069256
hs2586	chr14:54085571-54088690	LOC101927620-MIR5580	chr14:53618853-53621972	chr14:46685716-46688931	Mir5131-Gm1821	chr14:46066041-46069256
mm385	chr14:54257240-54258156	LOC101927620-MIR5580	chr14:53790522-53791438	chr14:46843672-46844634	Gm1821-Gm15217	chr14:46223997-46224959
mm386	chr14:54280465-54282074	LOC101927620-MIR5580	chr14:53813747-53815356	chr14:46867125-46868803	Gm1821-Gm15217	chr14:46247450-46249128
hs2324	chr14:54419578-54420499	BMP4(intragenic)	chr14:53952860-53953781	chr14:47006409-47007340	Bmp4(intragenic)	chr14:46386734-46387665
hs1414	chr14:54687583-54688495	BMP4-CDKN3	chr14:54220865-54221777	chr14:47225326-47226195	Bmp4-Cdkn3	chr14:46605651-46606520
mm387	chr14:54690378-54691482	BMP4-CDKN3	chr14:54223660-54224764	chr14:47230345-47231452	Bmp4-Cdkn3	chr14:46610670-46611777
hs1579	chr14:57320664-57324319	OTX2-AS1(intragenic)	chr14:56853946-56857601	chr14:49327185-49330860	Otx2os1(intragenic)	chr14:48707510-48711185
hs1150	chr14:57419008-57421445	OTX2-AS1-EXOC5	chr14:56952290-56954727	chr14:49418899-49421325	Otx2os1-4933429O19Rik	chr14:48799224-48801650
hs1218	chr14:57430887-57432346	OTX2-AS1-EXOC5	chr14:56964169-56965628	chr14:49434278-49435793	Otx2os1-4933429O19Rik	chr14:48814603-48816118
hs1791	chr14:57474144-57478090	OTX2-AS1-EXOC5	chr14:57007426-57011372	chr14:49472015-49476289	Otx2os1-4933429O19Rik	chr14:48852340-48856614
mm1570	chr14:57790185-57793167	AP5M1-NAA30	chr14:57323467-57326449	chr14:49740815-49742308	Mudeng-Naa30	chr14:49121140-49122633
mm295	chr14:58999660-59000871	KIAA0586(intragenic)	chr14:58532942-58534153	chr12:72328279-72329463	2700049A03Rik(intragenic)	chr12:71227292-71228476
mm795	chr14:59337782-59340411	LOC102723742(intragenic)	chr14:58871064-58873693	chr12:72633255-72635754	Dact1-4930404H11Rik	chr12:71532268-71534767
hs1602	chr14:61120199-61122451	SIX1-SIX4	chr14:60653481-60655733	chr12:74151599-74153559	Six1-Six4	chr12:73050612-73052572
mm1595	chr14:61710337-61713101	SLC38A6-TMEM30B	chr14:61243619-61246383	chr12:74611486-74614036	D830013O20Rik-Tmem30b	chr12:73510499-73513049
hs1474	chr14:68605699-68608457	RAD51B(intragenic)	chr14:68138982-68141740	chr12:80606589-80610346	Rad51l1(intragenic)	chr12:79505602-79509359
hs1392	chr14:68634843-68636060	RAD51B(intragenic)	chr14:68168126-68169343	chr12:80636222-80637526	Rad51l1(intragenic)	chr12:79535235-79536539
hs1688	chr14:68842757-68845775	RAD51B(intragenic)	chr14:68376040-68379058	chr12:80832426-80835645	Rad51l1(intragenic)	chr12:79731439-79734658
mm1393	chr14:68925079-68927870	RAD51B(intragenic)	chr14:68458362-68461153	chr12:80896781-80899359	Rad51l1(intragenic)	chr12:79795794-79798372
hs1616	chr14:68976404-68979383	RAD51B-ZFP36L1	chr14:68509687-68512666	chr12:80947259-80950057	Rad51l1-Zfp36l1	chr12:79846272-79849070
mm1611	chr14:69050714-69054190	RAD51B-ZFP36L1	chr14:68583997-68587473	chr12:81024749-81027839	Rad51l1-Zfp36l1	chr12:79923762-79926852
mm1699	chr14:69071789-69075800	RAD51B-ZFP36L1	chr14:68605072-68609083	chr12:81044785-81047222	Rad51l1-Zfp36l1	chr12:79943798-79946235
mm1359	chr14:69098064-69101906	RAD51B-ZFP36L1	chr14:68631347-68635189	chr12:81069617-81072879	Rad51l1-Zfp36l1	chr12:79968630-79971892
mm1469	chr14:69194679-69201082	RAD51B-ZFP36L1	chr14:68727962-68734365	chr12:81160952-81166097	Rad51l1-Zfp36l1	chr12:80059965-80065110
mm1002	chr14:70009706-70011377	PLEKHD1-CCDC177	chr14:69542989-69544660	chr12:81836832-81838690	3830431G21Rik-Gm1568	chr12:80735845-80737703
mm2011	chr14:72875813-72886896	RGS6(intragenic)	chr14:72409105-72420188	chr12:84116841-84118511	1700085C21Rik-Dpf3	chr12:83015854-83017524
mm78	chr14:72946259-72948442	RGS6(intragenic)	chr14:72479551-72481734	chr12:84173382-84175400	1700085C21Rik-Dpf3	chr12:83072395-83074413
hs2156	chr14:73645468-73648977	PSEN1(intragenic)	chr14:73178760-73182269	chr12:85059689-85063740	Psen1(intragenic)	chr12:83718739-83722790
mm529	chr14:74208262-74209285	ELMSAN1(intragenic)	chr14:73741559-73742582	chr12:85516641-85517693	C130039O16Rik(intragenic)	chr12:84175691-84176743
hs1657	chr14:75703373-75705053	TMED10-FOS	chr14:75236670-75238350	chr12:86776324-86777938	Tmed10-Fos	chr12:85435374-85436988
hs1481	chr14:75724424-75726998	TMED10-FOS	chr14:75257721-75260295	chr12:86795335-86797609	Tmed10-Fos	chr12:85454385-85456659
mm260	chr14:75724441-75726738	TMED10-FOS	chr14:75257738-75260035	chr12:86795350-86797239	Tmed10-Fos	chr12:85454400-85456289
hs2157	chr14:76459638-76463620	IFT43(intragenic)	chr14:75993295-75997277	chr12:87428852-87434212	1700019E19Rik(intragenic)	chr12:86087902-86093262
hs2158	chr14:76477329-76482203	IFT43(intragenic)	chr14:76010986-76015860	chr12:87444264-87447897	1700019E19Rik(intragenic)	chr12:86103314-86106947
mm1536	chr14:77383014-77384372	LRRC74-IRF2BPL	chr14:76916671-76918029	chr12:88139198-88140802	Gm6772-6430527G18Rik	chr12:86798248-86799852
mm1676	chr14:77384379-77387760	LRRC74-IRF2BPL	chr14:76918036-76921417	chr12:88141294-88144586	Gm6772-6430527G18Rik	chr12:86800344-86803636
hs1466	chr14:77384641-77387697	LRRC74-IRF2BPL	chr14:76918298-76921354	chr12:88141522-88144552	Gm6772-6430527G18Rik	chr12:86800572-86803602
mm336	chr14:77396197-77399897	LRRC74-IRF2BPL	chr14:76929854-76933554	chr12:88151548-88154251	Gm6772-6430527G18Rik	chr12:86810598-86813301
hs1624	chr14:77402795-77405507	LRRC74-IRF2BPL	chr14:76936452-76939164	chr12:88156495-88158532	Gm6772-6430527G18Rik	chr12:86815545-86817582
mm1444	chr14:77413020-77417731	LRRC74-IRF2BPL	chr14:76946677-76951388	chr12:88163880-88168062	Gm6772-6430527G18Rik	chr12:86822930-86827112
hs1903	chr14:77506871-77511353	IRF2BPL-LOC102724190	chr14:77040528-77045010	chr12:88235615-88240644	6430527G18Rik-2310044G17Rik	chr12:86894665-86899694
mm296	chr14:78906323-78907337	NRXN3(intragenic)	chr14:78439980-78440994	chr12:90222342-90223370	Nrxn3(intragenic)	chr12:88983898-88984926
hs1369	chr14:80095739-80097310	NRXN3(intragenic)	chr14:79629396-79630967	chr12:91370417-91371955	Nrxn3(intragenic)	chr12:90131977-90133515
mm815	chr14:81779603-81784022	STON2(intragenic)	chr14:81313259-81317678	chr12:92916017-92919523	Ston2(intragenic)	chr12:91677577-91681083
mm12	chr14:89813894-89816880	FOXN3(intragenic)	chr14:89347550-89350536	chr12:100576830-100579481	Foxn3(intragenic)	chr12:99338620-99341271
hs1299	chr14:89814702-89816977	FOXN3(intragenic)	chr14:89348358-89350633	chr12:100577316-100579580	Foxn3(intragenic)	chr12:99339106-99341370
mm491	chr14:93573045-93574605	ITPK1-AS1-MOAP1	chr14:93106700-93108260	chr12:103935837-103936982	Mir1936-Moap1	chr12:102697627-102698772
mm1776	chr14:95237792-95242424	GSC-DICER1	chr14:94771455-94776087	chr12:105712807-105717167	Gsc-Dicer1	chr12:104474597-104478957
hs1486	chr14:95836414-95839481	LOC101929080-LINC00341	chr14:95370077-95373144	chr12:106139042-106140951	Clmn-4831426I19Rik	chr12:104900832-104902741
mm6	chr14:95898157-95898931	SYNE3(intragenic)	chr14:95431820-95432594	chr12:106177540-106178279	4831426I19Rik(intragenic)	chr12:104939330-104940069
hs2304	chr14:95898225-95898738	SYNE3(intragenic)	chr14:95431888-95432401	chr12:106177602-106178118	4831426I19Rik(intragenic)	chr12:104939392-104939908
mm1604	chr14:97220483-97223368	PAPOLA-VRK1	chr14:96754146-96757031	chr12:107210896-107213331	Papola-Vrk1	chr12:105972686-105975121
hs352	chr14:97762544-97763744	LINC00618-LOC101929241	chr14:97296207-97297407	chr12:107615525-107616732	Vrk1-1700121N20Rik	chr12:106377315-106378522
hs353	chr14:97879188-97880071	LINC00618-LOC101929241	chr14:97412851-97413734	chr12:107717554-107718451	1700121N20Rik-4933406K04Rik	chr12:106479344-106480241
hs2615	chr14:98046932-98048051	LOC101929241-LOC100129345	chr14:97580595-97581714	chr12:107871034-107872186	1700121N20Rik-4933406K04Rik	chr12:106632824-106633976
hs622	chr14:99466200-99467144	C14orf177-BCL11B	chr14:98999863-99000807	chr12:109016128-109017121	4930465M20Rik-Bcl11b	chr12:107777918-107778911
mm1589	chr14:99679955-99684067	BCL11B(intragenic)	chr14:99213618-99217730	chr12:109189361-109192204	Bcl11b(intragenic)	chr12:107951151-107953994
mm1704	chr15:100740654-100743103	ADAMTS17(intragenic)	chr15:100200449-100202898	chr7:74110477-74112961	Adamts17(intragenic)	chr7:66965591-66968075
hs2231	chr15:31595790-31600208	LOC283710-KLF13	chr15:31303587-31308005	chr7:71100963-71105712	E030018B13Rik-Trpm1	chr7:63956077-63960826
hs910	chr15:33091527-33092659	FMN1(intragenic)	chr15:32799326-32800458	chr2:113531699-113532801	4930533B01Rik(intragenic)	chr2:113691542-113692644
mm1101	chr15:33191336-33191980	FMN1(intragenic)	chr15:32899135-32899779	chr2:113435543-113436245	Fmn1(intragenic)	chr2:113595386-113596088
mm1073	chr15:35129019-35132161	ACTC1-AQR	chr15:34836818-34839960	chr2:113911787-113915939	C130080G10Rik-Aqr	chr2:114086051-114090203
mm182	chr15:35183632-35184148	AQR(intragenic)	chr15:34891431-34891947	chr2:113949124-113949618	Aqr(intragenic)	chr2:114123388-114123882
hs776	chr15:35545322-35546846	ANP32AP1-DPH6	chr15:35253121-35254645	chr2:114237185-114238757	Zfp770-Atpbd4	chr2:114411449-114413021
hs354	chr15:35918719-35919621	DPH6-AS1(intragenic)	chr15:35626518-35627420	chr2:114565131-114566031	Atpbd4-4930528P14Rik	chr2:114739395-114740295
mm1099	chr15:35993518-35994681	DPH6-AS1(intragenic)	chr15:35701317-35702480	chr2:114633416-114634555	Atpbd4-4930528P14Rik	chr2:114807680-114808819
mm1100	chr15:36042959-36044608	DPH6-AS1(intragenic)	chr15:35750758-35752407	chr2:114678745-114680238	Atpbd4-4930528P14Rik	chr2:114853009-114854502
hs355	chr15:36819021-36820695	MIR4510-C15orf41	chr15:36526820-36528494	chr2:115363420-115365044	3110099E03Rik-BC052040	chr2:115537684-115539308
hs828	chr15:36964819-36966098	C15orf41(intragenic)	chr15:36672618-36673897	chr2:115482694-115483984	Mir1951-Meis2	chr2:115656958-115658248
hs812	chr15:36966132-36967531	C15orf41(intragenic)	chr15:36673931-36675330	chr2:115484017-115485448	Mir1951-Meis2	chr2:115658281-115659712
hs1871	chr15:36983818-36984196	C15orf41(intragenic)	chr15:36691617-36691995	chr2:115495250-115495621	Mir1951-Meis2	chr2:115669514-115669885
mm669	chr15:37188102-37190693	MEIS2(intragenic)	chr15:36895901-36898492	chr2:115693724-115696239	Meis2(intragenic)	chr2:115867988-115870503
hs489	chr15:37191408-37192621	MEIS2(intragenic)	chr15:36899207-36900420	chr2:115696979-115698218	Meis2(intragenic)	chr2:115871243-115872482
hs1129	chr15:37216993-37219601	MEIS2(intragenic)	chr15:36924792-36927400	chr2:115722165-115725136	Meis2(intragenic)	chr2:115896429-115899400
hs181	chr15:37240805-37242498	MEIS2(intragenic)	chr15:36948604-36950297	chr2:115745733-115747387	Meis2(intragenic)	chr2:115919997-115921651
mm255	chr15:37288089-37289173	MIR8063-TMCO5A	chr15:36995888-36996972	chr2:115788221-115789276	Meis2(intragenic)	chr2:115962485-115963540
mm1735	chr15:37337637-37338988	MIR8063-TMCO5A	chr15:37045436-37046787	chr2:115834381-115835738	Meis2(intragenic)	chr2:116008645-116010002
hs1178	chr15:37347604-37349955	MIR8063-TMCO5A	chr15:37055403-37057754	chr2:115843784-115846211	Meis2(intragenic)	chr2:116018048-116020475
hs1097	chr15:37371729-37373137	MIR8063-TMCO5A	chr15:37079528-37080936	chr2:115870622-115872021	Meis2(intragenic)	chr2:116044886-116046285
hs572	chr15:37512674-37514557	MIR8063-TMCO5A	chr15:37220473-37222356	chr2:116026591-116028483	2810405F15Rik-Tmco5	chr2:116200855-116202747
hs356	chr15:37521824-37522951	MIR8063-TMCO5A	chr15:37229623-37230750	chr2:116038361-116039487	2810405F15Rik-Tmco5	chr2:116212625-116213751
hs599	chr15:37652783-37654460	MIR8063-TMCO5A	chr15:37360582-37362259	chr2:116149138-116150802	2810405F15Rik-Tmco5	chr2:116323402-116325066
hs830	chr15:38159507-38161007	MIR8063-TMCO5A	chr15:37867306-37868806	chr2:116633465-116634988	2810405F15Rik-Tmco5	chr2:116807729-116809252
mm1368	chr15:38959182-38962989	RASGRP1-C15orf53	chr15:38666981-38670788	chr2:117252816-117256342	Rasgrp1-4930412B13Rik	chr2:117427080-117430606
hs1611	chr15:40383560-40386138	BMF(intragenic)	chr15:40091359-40093937	chr2:118357963-118360592	Bmf(intragenic)	chr2:118532227-118534856
hs1881	chr15:44171247-44173891	PIN4P1-CASC4	chr15:43879049-43881693	chr2:121375739-121378336	Frmd5(intragenic)	chr2:121550003-121552600
hs1757	chr15:44172359-44173730	PIN4P1-CASC4	chr15:43880161-43881532			
hs2577	chr15:44476548-44480858	PIN4P1-CASC4	chr15:44184350-44188660	chr2:121619531-121624666	Frmd5(intragenic)	chr2:121793795-121798930
hs1687	chr15:48012796-48016252	SEMA6D(intragenic)	chr15:47720599-47724055	chr2:124438333-124441500	Sema6d(intragenic)	chr2:124612597-124615764
mm281	chr15:48267985-48268674	SEMA6D-SLC24A5	chr15:47975788-47976477	chr2:124745809-124746462	Sema6d-Slc24a5	chr2:124920073-124920726
mm670	chr15:48922267-48926042	FBN1(intragenic)	chr15:48630070-48633845	chr2:125317131-125319646	Fbn1(intragenic)	chr2:125491395-125493910
mm786	chr15:51692970-51695976	GLDN(intragenic)	chr15:51400773-51403779	chr9:54182839-54185364	Gldn(intragenic)	chr9:54335032-54337557
mm1473	chr15:56341744-56344235	NEDD4-RFX7	chr15:56049546-56052037	chr9:72486901-72489273	Rfx7-Nedd4	chr9:72639094-72641466
hs357	chr15:57425244-57425958	TCF12(intragenic)	chr15:57133046-57133760	chr9:71823774-71824537	Tcf12(intragenic)	chr9:71975967-71976730
hs623	chr15:57426028-57426952	TCF12(intragenic)	chr15:57133830-57134754	chr9:71822793-71823707	Tcf12(intragenic)	chr9:71974986-71975900
mm190	chr15:58818261-58818883	LIPC(intragenic)	chr15:58526062-58526684	chr9:70682343-70683041	Lipc(intragenic)	chr9:70834536-70835234
mm690	chr15:61378587-61381384	RORA-VPS13C	chr15:61086388-61089185	chr9:68642365-68644871	9530091C08Rik-Narg2	chr9:68794558-68797064
mm100	chr15:63341045-63344184	TPM1(intragenic)	chr15:63048846-63051985	chr9:66888473-66891328	Tpm1(intragenic)	chr9:67040666-67043521
hs2160	chr15:63382545-63386341	TPM1-LACTB	chr15:63090346-63094142	chr9:66848290-66852365	Lactb-Tpm1	chr9:67000483-67004558
hs817	chr15:64753430-64754564	TRIP4-ZNF609	chr15:64461231-64462365	chr9:65673795-65674917	Zfp609(intragenic)	chr9:65825988-65827110
hs1944	chr15:65377669-65381418	KBTBD13-UBAP1L	chr15:65085331-65089080	chr9:65229449-65232464	Gm514-Kbtbd13	chr9:65381642-65384657
hs2632	chr15:66244531-66245467	MEGF11(intragenic)	chr15:65952193-65953129	chr9:64514096-64514918	Megf11(intragenic)	chr9:64666289-64667111
mm2148	chr15:66897092-66905356	LINC01169(intragenic)	chr15:66604754-66613018	chr9:63943091-63947710	2600006L11Rik-Lctl	chr9:64095284-64099903
mm2213	chr15:66904153-66908214	LINC01169(intragenic)	chr15:66611815-66615876	chr9:63938887-63943326	2600006L11Rik-Lctl	chr9:64091080-64095519
mm2147	chr15:66912797-66920655	LINC01169(intragenic)	chr15:66620459-66628317	chr9:63929799-63934416	2600006L11Rik(intragenic)	chr9:64081992-64086609
mm2146	chr15:66924137-66930978	LINC01169(intragenic)	chr15:66631799-66638640	chr9:63921118-63925757	1110036E04Rik-2600006L11Rik	chr9:64073311-64077950
mm1682	chr15:66937378-66940870	LINC01169(intragenic)	chr15:66645040-66648532	chr9:63913894-63916567	1110036E04Rik-2600006L11Rik	chr9:64066087-64068760
mm2145	chr15:66943107-66947838	LINC01169(intragenic)	chr15:66650769-66655500	chr9:63907776-63912428	1110036E04Rik-2600006L11Rik	chr9:64059969-64064621
mm2144	chr15:66965025-66971477	LINC01169(intragenic)	chr15:66672687-66679139	chr9:63894153-63898753	1700055C04Rik-2600006L11Rik	chr9:64046346-64050946
mm2143	chr15:66971300-66973442	LINC01169(intragenic)	chr15:66678962-66681104	chr9:63889677-63894489	1700055C04Rik-1110036E04Rik	chr9:64041870-64046682
mm69	chr15:66971321-66972541	LINC01169(intragenic)	chr15:66678983-66680203	chr9:63892591-63894756	1700055C04Rik-1110036E04Rik	chr9:64044784-64046949
mm2212	chr15:66973407-66980509	LINC01169-SMAD6	chr15:66681069-66688171	chr9:63885194-63889927	Smad6-1110036E04Rik	chr9:64037387-64042120
mm2142	chr15:66984348-66987144	LINC01169-SMAD6	chr15:66692010-66694806	chr9:63876446-63881152	Smad6-1700055C04Rik	chr9:64028639-64033345
mm2162	chr15:66986639-66991433	LINC01169-SMAD6	chr15:66694301-66699095	chr9:63872197-63876826	Smad6-1700055C04Rik	chr9:64024390-64029019
mm2141	chr15:66996634-67001434	SMAD6(intragenic)	chr15:66704296-66709096	chr9:63863182-63867801	Smad6(intragenic)	chr9:64015375-64019994
mm2211	chr15:67009535-67016288	SMAD6(intragenic)	chr15:66717197-66723950	chr9:63849928-63854559	Smad6(intragenic)	chr9:64002121-64006752
mm2161	chr15:67022449-67026505	SMAD6(intragenic)	chr15:66730111-66734167	chr9:63840893-63845506	Smad6(intragenic)	chr9:63993086-63997699
mm2208	chr15:67032042-67037348	SMAD6(intragenic)	chr15:66739704-66745010	chr9:63831988-63836712	Smad6(intragenic)	chr9:63984181-63988905
mm2140	chr15:67037328-67042151	SMAD6(intragenic)	chr15:66744990-66749813	chr9:63827347-63832004	Smad6(intragenic)	chr9:63979540-63984197
mm2139	chr15:67041546-67047035	SMAD6(intragenic)	chr15:66749208-66754697	chr9:63823073-63827685	Smad6(intragenic)	chr9:63975266-63979878
mm2207	chr15:67053224-67057914	SMAD6(intragenic)	chr15:66760886-66765576	chr9:63814037-63818848	Smad6(intragenic)	chr9:63966230-63971041
mm2160	chr15:67057472-67064651	SMAD6(intragenic)	chr15:66765134-66772313	chr9:63809671-63814333	Smad6(intragenic)	chr9:63961864-63966526
mm2206	chr15:67064596-67069256	SMAD6(intragenic)	chr15:66772258-66776918	chr9:63805269-63810067	Smad6(intragenic)	chr9:63957462-63962260
mm1518	chr15:67064954-67068162	SMAD6(intragenic)	chr15:66772616-66775824	chr9:63806122-63809358	Smad6(intragenic)	chr9:63958315-63961551
mm2138	chr15:67068779-67074444	SMAD6-SMAD3	chr15:66776441-66782106	chr9:63800744-63805621	Smad3-1700055C04Rik	chr9:63952937-63957814
mm2205	chr15:67074358-67081710	SMAD6-SMAD3	chr15:66782020-66789372	chr9:63796168-63800861	Smad3-Smad6	chr9:63948361-63953054
mm2204	chr15:67093533-67096039	SMAD6-SMAD3	chr15:66801195-66803701	chr9:63787523-63792204	Smad3-Smad6	chr9:63939716-63944397
mm2137	chr15:67136656-67140913	SMAD6-SMAD3	chr15:66844318-66848575	chr9:63769520-63774183	Smad3-Smad6	chr9:63921713-63926376
mm2136	chr15:67140600-67144206	SMAD6-SMAD3	chr15:66848262-66851868	chr9:63765074-63769681	Smad3-Smad6	chr9:63917267-63921874
mm2097	chr15:67143888-67152231	SMAD6-SMAD3	chr15:66851550-66859893	chr9:63760671-63765470	Smad3-Smad6	chr9:63912864-63917663
mm2216	chr15:67152210-67156487	SMAD6-SMAD3	chr15:66859872-66864149	chr9:63756438-63761120	Smad3-Smad6	chr9:63908631-63913313
mm2096	chr15:67156461-67160798	SMAD6-SMAD3	chr15:66864123-66868460	chr9:63751771-63756457	Smad3-Smad6	chr9:63903964-63908650
mm2135	chr15:67160799-67162061	SMAD6-SMAD3	chr15:66868461-66869723	chr9:63747249-63751983	Smad3-Smad6	chr9:63899442-63904176
mm2134	chr15:67161256-67177951	SMAD6-SMAD3	chr15:66868918-66885613	chr9:63742796-63747417	Smad3-Smad6	chr9:63894989-63899610
mm2157	chr15:67177930-67189802	SMAD6-SMAD3	chr15:66885592-66897464	chr9:63738525-63743126	Smad3-Smad6	chr9:63890718-63895319
mm2203	chr15:67189025-67192877	SMAD6-SMAD3	chr15:66896687-66900539	chr9:63733907-63738653	Smad3-Smad6	chr9:63886100-63890846
mm2095	chr15:67192645-67198649	SMAD6-SMAD3	chr15:66900307-66906311	chr9:63729602-63734425	Smad3-Smad6	chr9:63881795-63886618
hs660	chr15:67198974-67200134	SMAD6-SMAD3	chr15:66906636-66907796	chr9:63728005-63729314	Smad3-Smad6	chr9:63880198-63881507
mm2202	chr15:67202308-67208939	SMAD6-SMAD3	chr15:66909970-66916601	chr9:63719716-63725483	Smad3-Smad6	chr9:63871909-63877676
mm2201	chr15:67208018-67211060	SMAD6-SMAD3	chr15:66915680-66918722	chr9:63716154-63721003	Smad3-Smad6	chr9:63868347-63873196
mm2133	chr15:67211041-67212734	SMAD6-SMAD3	chr15:66918703-66920396	chr9:63711777-63716558	Smad3-Smad6	chr9:63863970-63868751
mm2132	chr15:67212347-67222036	SMAD6-SMAD3	chr15:66920009-66929698	chr9:63707370-63712170	Smad3-Smad6	chr9:63859563-63864363
mm2131	chr15:67221576-67225569	SMAD6-SMAD3	chr15:66929238-66933231	chr9:63702923-63707671	Smad3-Smad6	chr9:63855116-63859864
mm2156	chr15:67225251-67229688	SMAD6-SMAD3	chr15:66932913-66937350	chr9:63698557-63703285	Smad3-Smad6	chr9:63850750-63855478
mm2180	chr15:67229539-67237431	SMAD6-SMAD3	chr15:66937201-66945093	chr9:63694087-63698917	Smad3-Smad6	chr9:63846280-63851110
mm2129	chr15:67245616-67253497	SMAD6-SMAD3	chr15:66953278-66961159	chr9:63685207-63689821	Smad3-Smad6	chr9:63837400-63842014
mm2155	chr15:67253469-67260056	SMAD6-SMAD3	chr15:66961131-66967718	chr9:63680582-63685226	Smad3-Smad6	chr9:63832775-63837419
mm2200	chr15:67260028-67270634	SMAD6-SMAD3	chr15:66967690-66978296	chr9:63676294-63680617	Smad3-Smad6	chr9:63828487-63832810
mm2199	chr15:67270555-67279241	SMAD6-SMAD3	chr15:66978217-66986903	chr9:63671711-63676384	Smad3-Smad6	chr9:63823904-63828577
mm2128	chr15:67285401-67297461	SMAD6-SMAD3	chr15:66993063-67005123	chr9:63662732-63667358	Smad3-Smad6	chr9:63814925-63819551
mm2153	chr15:67297436-67299659	SMAD6-SMAD3	chr15:67005098-67007321	chr9:63658307-63663153	Smad3-Smad6	chr9:63810500-63815346
mm2127	chr15:67299268-67303649	SMAD6-SMAD3	chr15:67006930-67011311	chr9:63653875-63658735	Smad3-Smad6	chr9:63806068-63810928
mm2126	chr15:67310724-67312236	SMAD6-SMAD3	chr15:67018386-67019898	chr9:63644965-63649683	Smad3-Smad6	chr9:63797158-63801876
mm2094	chr15:67318008-67325173	SMAD6-SMAD3	chr15:67025670-67032835	chr9:63636238-63640920	Smad3-Smad6	chr9:63788431-63793113
mm2125	chr15:67324972-67330710	SMAD6-SMAD3	chr15:67032634-67038372	chr9:63631765-63636413	Smad3-Smad6	chr9:63783958-63788606
mm2124	chr15:67330688-67336022	SMAD6-SMAD3	chr15:67038350-67043684	chr9:63627146-63631784	Smad3-Smad6	chr9:63779339-63783977
mm2123	chr15:67335405-67341366	SMAD6-SMAD3	chr15:67043067-67049028	chr9:63622669-63627542	Smad3-Smad6	chr9:63774862-63779735
mm2152	chr15:67340500-67345706	SMAD6-SMAD3	chr15:67048162-67053368	chr9:63618278-63622970	Smad3-Smad6	chr9:63770471-63775163
mm2198	chr15:67345665-67348751	SMAD6-SMAD3	chr15:67053327-67056413	chr9:63613854-63618370	Smad3-Smad6	chr9:63766047-63770563
mm2197	chr15:67348726-67352770	SMAD6-SMAD3	chr15:67056388-67060432	chr9:63609593-63614200	Smad3-Smad6	chr9:63761786-63766393
mm2196	chr15:67352704-67358907	SMAD6-SMAD3	chr15:67060366-67066569	chr9:63605122-63609612	Smad3-Smad6	chr9:63757315-63761805
mm2093	chr15:67358616-67363650	SMAD3(intragenic)	chr15:67066278-67071312	chr9:63600649-63605361	Smad3(intragenic)	chr9:63752842-63757554
mm2122	chr15:67363483-67368433	SMAD3(intragenic)	chr15:67071145-67076095	chr9:63595979-63600734	Smad3(intragenic)	chr9:63748172-63752927
mm2092	chr15:67368091-67372765	SMAD3(intragenic)	chr15:67075753-67080427	chr9:63591583-63596273	Smad3(intragenic)	chr9:63743776-63748466
mm2121	chr15:67372520-67376997	SMAD3(intragenic)	chr15:67080182-67084659	chr9:63587103-63591784	Smad3(intragenic)	chr9:63739296-63743977
mm2120	chr15:67381557-67387229	SMAD3(intragenic)	chr15:67089219-67094891	chr9:63578341-63583067	Smad3(intragenic)	chr9:63730534-63735260
mm2151	chr15:67386958-67391616	SMAD3(intragenic)	chr15:67094620-67099278	chr9:63573845-63578606	Smad3(intragenic)	chr9:63726038-63730799
mm2119	chr15:67395874-67401162	SMAD3(intragenic)	chr15:67103536-67108824	chr9:63565177-63569394	Smad3(intragenic)	chr9:63717370-63721587
